"Data Import Template"
"Table:","Item"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Item","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","UOM Conversion Detail","uoms","","","","~","Item Barcode","barcodes","","","","","~","Item Reorder","reorder_levels","","","","","","","~","Item Variant Attribute","attributes","","","","","","","","","","~","Item Default","item_defaults","","","","","","","","","","","","","","~","Item Supplier","supplier_items","","","","~","Item Customer Detail","customer_items","","","","","~","Item Tax","taxes","","","","","",""
"Column Labels:","ID","Item Code","Item Group","Default Unit of Measure","Created On","Created By","Item Name","Spec Sheet","Duty","VAT","Disabled","Allow Alternative Item","warranty","Maintain Stock","Has Variants","Opening Stock","Valuation Rate","Standard Selling Rate","Is Fixed Asset","Auto Create Assets on Purchase","Create Grouped Asset","Asset Category","Asset Naming Series","Over Delivery/Receipt Allowance (%)","Over Billing Allowance (%)","Description","Brand","Shelf Life In Days","End of Life","Default Material Request Type","Valuation Method","Warranty Period (in days)","Weight Per Unit","Weight UOM","Allow Negative Stock","Has Batch No","Automatically Create New Batch","Batch Number Series","Has Expiry Date","Retain Sample","Max Sample Quantity","Has Serial No","Serial Number Series","Variant Of","Variant Based On","Enable Deferred Expense","No of Months (Expense)","Enable Deferred Revenue","No of Months (Revenue)","Default Purchase Unit of Measure","Minimum Order Qty","Safety Stock","Allow Purchase","Lead Time in days","Last Purchase Rate","Is Customer Provided Item","Customer","Delivered by Supplier (Drop Ship)","Country of Origin","Customs Tariff Number","Default Sales Unit of Measure","Grant Commission","Allow Sales","Max Discount (%)","Inspection Required before Purchase","Quality Inspection Template","Inspection Required before Delivery","Include Item In Manufacturing","Supply Raw Materials for Purchase","Default BOM","Default Item Manufacturer","Default Manufacturer Part No","","ID","Created On","Created By","UOM","Conversion Factor","","ID","Barcode","Created On","Created By","Barcode Type","UOM","","ID","Request for","Material Request Type","Created On","Created By","Check in (group)","Re-order Level","Re-order Qty","","ID","Attribute","Created On","Created By","Variant Of","Attribute Value","Numeric Values","Disabled","From Range","Increment","To Range","","ID","Company","Created On","Created By","Default Warehouse","Default Price List","Default Discount Account","Default Buying Cost Center","Default Supplier","Default Expense Account","Default Provisional Account","Default Selling Cost Center","Default Income Account","Deferred Expense Account","Deferred Revenue Account","","ID","Supplier","Created On","Created By","Supplier Part Number","","ID","Ref Code","Created On","Created By","Customer Name","Customer Group","","ID","Item Tax Template","Created On","Created By","Tax Category","Valid From","Minimum Net Rate","Maximum Net Rate"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""amnm8ocoe9""","Sinopower","2025-06-26 17:16:38.114180","rental@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""D80S-5""","D80S-5","Forklift","Nos","2025-07-14 16:44:43.776258","rental@machinery-exchange.com","D80S-5","",0,0,0,0,"2000 hours or 1 year ",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>Bobcat D80S-5 Diesel Counterbalance Forklift</strong></p><p>Capacity: 8000kg,Load centre</p><p>600mm, Lift height 5850mm, Free lift</p><p>1920mm, Fork length 2400mm,</p><p>Collapsed Height 2130mm. Side Shift, Solid tyres</p></div>","Bobcat",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""9p5oo6126m""","2025-07-14 16:44:43.810445","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""cpb02nn5da""","Sinopower","2025-07-14 16:44:43.811641","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DB260 (2.5m3) self-loading concrete mixer""","DB260 (2.5m3) self-loading concrete mixer","Concrete Mixer","Nos","2026-03-06 18:45:40.218866","sales.humphrey@machinery-exchange.com","DB260 (2.5m3) self-loading concrete mixer","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>Perkins Series 1,104 Engine, 2.5 Cubic meter</strong></p><p><strong>concrete capacity,</strong> Mechanical control with</p><p>direct injection, Max. power: 64.5 kW (87 Hp), Alternator 12 V - 65 A.</p><p><br></p></div>","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""p63pcf62bq""","2026-03-06 18:45:40.289053","sales.humphrey@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""33snf69ft5""","Sinopower","2026-03-06 18:45:40.290043","sales.humphrey@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""1qo1e26nn1""","Machinery Exchange","2026-03-06 19:07:48.730920","sales.humphrey@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DB45""","DB45","Trailer","Unit","2025-05-08 10:39:41.762390","Administrator","DB45 Series Sleipner Trailer","",15,15,0,0,"12 Months Warranty.",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Max allowed loader weight 45 tonnes</p><p>Max allowed driving speed 15 km/h</p><p>Turning Raduis 11m</p><p>Weight 11 tons</p></div>","Sleipner",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""c57pbgkjvu""","2025-05-29 10:48:25.484615","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""4lc5htelcs""","Machinery Exchange","2025-05-08 10:39:41.778644","Administrator","Finished Goods - ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DB460 Concrete Mixer""","DB460 Concrete Mixer","Self-Loading Concrete Mixer","Nos","2025-06-26 08:21:02.925573","Administrator","DB460 Concrete Mixer","/files/DB460en.pdf",0,0,0,0,"12 months or 1200 hours ",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>DB460 Concrete Mixer</p><p>FIORI DB460 Perkins Series 1,104 Engine, 4 Cubic meter concrete capacity, Mechanical control with direct injection, 82.5KW(112Hp), Alternator 12v – 65A</p></div>","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""hvmmk3k03h""","2025-06-26 08:21:02.974468","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b1t5prnm5d""","Sinopower","2025-06-26 08:21:02.975640","Administrator","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""v12gtki8t0""","Machinery Exchange","2026-02-12 15:36:35.238719","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DBX35 (3.5m3) Self Loading concrete mixer""","DBX35 (3.5m3) Self Loading concrete mixer","Concrete Mixer","Nos","2026-03-06 16:37:32.560143","sales.humphrey@machinery-exchange.com","DBX35 (3.5m3) Self Loading concrete mixer","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>Perkins Series 1,104 Engine, 3.5 Cubic meter</strong></p><p><strong>concrete capacity</strong>, Mechanical control with</p><p>direct injection, 82.5KW (112Hp), Alternator 12v – 65 A</p><p><br></p></div>","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""18hfulq8dr""","2026-03-06 16:37:32.678792","sales.humphrey@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""7n3iup2pr3""","Sinopower","2026-03-06 16:37:32.683920","sales.humphrey@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""m3hfnt85dc""","Machinery Exchange","2026-03-06 19:07:48.732097","sales.humphrey@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DC6000""","DC6000","Sub Assemblies","Nos","2025-05-08 10:39:41.793022","Administrator","DC6000 Wheel Loader Weighing Mechanism","",0,0,0,0,"N/A",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Wheel Loader Weighing Mechanism, Multi-point weighing, Accuracy: +/- 1% of payload, Voltage = 12 to 32V DC, Minimum weighing = 200kg, Electrical Display: 100 mm (4 in) QVG; Weight 1.5 kg (3.3 lbs)</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""bqfe85erld""","2025-05-08 10:39:41.807628","Administrator","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""rcg60j9r97""","Machinery Exchange","2025-05-08 10:39:41.808637","Administrator","Finished Goods - ME","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""e4tsclo2vu""","2025-05-30 11:52:18.235495","takunda@industrial-exchange.group","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""75o5sea5q5""","Sinopower","2025-12-03 15:31:41.964931","rental@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DC6000 Parts""","DC6000 Parts","Other","Nos","2025-12-03 15:31:26.414843","rental@machinery-exchange.com","DC6000 Parts","",0,0,0,0,"TBA on order",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Pressure sensors, Magnet switch &amp; Monitor for DC6000 Wheel Loader Weighing Mechanism </p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""7suj9ju94c""","2025-12-03 15:31:26.489241","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""spda8q4q5o""","Sinopower","2025-12-03 15:31:26.494590","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DE26""","DE26","Dozer","Nos","2026-04-30 14:39:58.131958","rental@machinery-exchange.com","DE26","/files/DE26-X3.pdf",0,0,0,0,"2000 hours or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>260hp,Battery:453kwh,Standard Cabin with R.O.P.S.,Enlarge Radiator,A/C, Straight tilt Rock Blade,560mm Heavy track shoes,Three Shank Ripper Include 400kW chargind station</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""dir8jlfp8d""","2026-04-30 14:39:58.212855","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""428gqosi5q""","Sinopower","2026-04-30 14:39:58.216970","rental@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""8bd5rjeatb""","Machinery Exchange","2026-04-30 14:42:34.866009","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DH13-B3""","DH13-B3","Dozer","Nos","2025-06-26 16:50:51.941619","rental@machinery-exchange.com","DH13-B3","/files/DH13-B3.pdf",0,0,0,0,"2000 hours or 1 year parts warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>DH13-B3 HYDROSTATIC BULLDOZER</strong></p><p>WEICHAI WP6G140E22 Engine 105 KW, LINDE hydraulic Systerm,Standard Cabin with R.O.P.S, A/C, Universal Blade(PAT),560mm Track Plate,3-Shank Rippe </p></div>","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""lsdkhnmklj""","2025-06-26 16:50:52.011944","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""akv01l1pkt""","Sinopower","2025-06-26 16:50:52.015415","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DH16-B3 Hydrostatic Dozer""","DH16-B3 Hydrostatic Dozer","Dozer","Nos","2025-11-10 17:04:20.784709","rental@machinery-exchange.com","DH16-B3 Hydrostatic Dozer","/files/DH16-B3 (1).pdf",0,0,0,0,"2000 hours or 1 year ",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>DH16-B3 XL Hydrostatic Dozer </strong></p><p>Weichai WD10 Engine EUR II,560mm Lubricated Track plate,<strong> Power Angle Tilt (PAT)</strong> Blade,R.O.P.S. Cabin,A/C,Three Shank Ripper, centralized lubrication, rear camera.</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""qr7psik00q""","2025-11-10 17:04:20.857464","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""5betkor8lb""","Sinopower","2025-11-10 17:04:20.859539","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""k2pakkkp2q""","Machinery Exchange","2026-02-11 16:44:05.772234","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DH17-B3 XL""","DH17-B3 XL","Dozer","Unit","2025-05-08 10:39:41.822659","Administrator","Shantui DH17-B3 XL Dozer","",0,0,0,0,"Warranty is 2000 hours or 1 year.",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>DH17</strong>-<strong>B3</strong>. Engine Model: Weichai WD10G190E214. Gross Power: 140kW(188hp)@1900rpm. Operating <strong>Weight</strong>: <strong>XL</strong>: 17,730kg FL: 18,260kg. LGP: 19,690kg</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""4bjd4gdojp""","2025-05-30 09:47:17.885287","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""bi0moqbe21""","Machinery Exchange","2025-05-08 10:39:41.841666","Administrator","Finished Goods - ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n3afn0mind""","Sinopower","2025-10-09 15:02:10.524549","Administrator","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DH20M Hydrostatic Dozer""","DH20M Hydrostatic Dozer","Dozer","Unit","2025-05-29 10:21:55.560989","takunda@industrial-exchange.group","DH20M Hydrostatic Dozer","",0,0,0,0,"2000 Hours or 1 Year Parts Warranty.",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Cummins L9 Engine EUR V,560mm Lubricate</p><p>Track plate,Power Angle Tilt (PAT) Blade,R.O.P.S.</p><p>Cabin,A/C,Three Shank Ripper, Rear Camera, Operating weight : 24065kg</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""e7crtnj6pj""","2025-05-29 10:21:55.582795","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""dnd0mc1286""","Machinery Exchange","2025-05-29 10:21:55.583692","takunda@industrial-exchange.group","Finished Goods - ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DH24""","DH24","Dozer","Nos","2025-09-25 16:16:42.460984","rental@machinery-exchange.com","DH24","/files/DH24-B3－XL－CH.pdf",0,0,0,0,"2000 hours or 1 year parts warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>DH24-B3 XL Hydrostatic Bulldozer </p><p>Weichai WD12G250E202 Engine,185Kw, Stage III, LINDE hydraulic Systerm ,560mm Lubrication track shoes , Semi-U blade(6.9m³) or Straight-tilt blade(6.5m³),R.O.P.S. Cabin ,Enlarge gilled tube Radiator,A/C, Centralization lubrication, Rear Camera,Three Shank Ripper, </p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""fqcslq89cn""","2025-09-25 16:16:42.573359","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""a5o1eho9jp""","Sinopower","2025-09-25 16:16:42.577187","rental@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""garl3su53d""","Machinery Exchange","2026-01-26 12:18:23.338076","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""DH46 - C3""","DH46 - C3","Dozer","Unit","2025-05-08 10:39:41.861227","Administrator","Shantui DH46-C3 Hydrostatic Bulldozer","/files/20210622-推土机-DH46C3.pdf",0,0,0,0,"2000 hours/12 months parts warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Cummins QSX15 Engine, Gross Power: 380KW(510HP),Hexahedron cab with R.O.P.S.,A/C, Rock Semi-U blade Blade, Single - shank Ripper ,610mm heavy lubricated track shoes. Operating Weight:56Ton</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""9vr921tca7""","2025-05-30 11:45:21.949856","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""3i0m2ms3tn""","Machinery Exchange","2025-05-08 10:39:41.878924","Administrator","Finished Goods - ME","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""4565idjo9q""","Sinopower","2025-08-29 11:30:10.287032","rental@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Dozer blade""","Dozer blade","Components","Nos","2025-12-18 09:14:59.262467","sales.humphrey@machinery-exchange.com","Dozer blade","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"Dozer blade","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""1pjk5chj3g""","2025-12-18 09:14:59.294206","sales.humphrey@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ppldu90lih""","Sinopower","2025-12-18 09:14:59.295231","sales.humphrey@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""59bnpdq89c""","Machinery Exchange","2026-02-24 17:21:48.145367","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Dropside Link Trailer""","Dropside Link Trailer","Trailer","Unit","2025-03-13 12:23:00.218911","Administrator","Dropside Link Trailer","",15,15,0,0,"12-months workmanship",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>New 6.1 X 12.2m drop side super link combination trailer, 35-ton payload, c/w, 6.1m Tandem Axle Front link, Dropside Semi Trailer, 12.2m Tandem Axle Rear link Dropside, 490L Steel Lockable toolbox, 315/80R 22.5 tyres.</p></div>","Henred",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""okkmjlvt3t""","2025-03-13 12:23:00.241333","Administrator","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nj74qh3v5n""","Sinopower","2025-03-13 12:23:00.242302","Administrator","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Dropside Triaxle Trailer""","Dropside Triaxle Trailer","Trailer","Unit","2025-03-13 12:25:55.050443","Administrator","Dropside Triaxle Trailer","",15,15,0,0,"12-months workmanship",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>New 30T, 13.5m Dropside semi-trailer with 1 200mm high quick removable drop sides, 13 off 315/80R 22.5 tyres, Steel Lockable toolbox. </p></div>","Henred",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""0r3acp84jb""","2025-03-13 12:25:55.109733","Administrator","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""rhbjcmti0t""","Sinopower","2025-03-13 12:25:55.110610","Administrator","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Drum Cutter TD-08""","Drum Cutter TD-08","Attachments","Nos","2025-11-20 15:47:56.079247","rental@machinery-exchange.com","Drum Cutter TD-08","",0,0,0,0,"1 year warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>TD-08 Horizontal Drum Cutter</strong></p><p>Suitable carrier 18-25 ton, max ratational speed 250rpm, height of lifting lug, 310mm,Width 500mm, quantity teeth 49 pieces.</p></div>","other",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""cmeuvqm02f""","2025-11-20 15:47:56.232422","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ct0ihvkake""","Sinopower","2025-11-20 15:47:56.239107","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""rqjsmrlno8""","Machinery Exchange","2026-05-06 16:46:43.234143","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Dumpy Trailer""","Dumpy Trailer","Dumpy Trailer","Nos","2025-07-23 16:50:10.543333","rental@machinery-exchange.com","Dumpy Trailer","",15,15,0,0,"12-months workmanship",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>3m3 , 5 tonne Tractor Drawn Dumpy Trailer</p></div>",".",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""8bd255hc9e""","2025-07-23 16:50:10.587099","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""k3rmj6brhh""","Sinopower","2025-07-23 16:50:10.588123","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
